Event,Start Date,Start Time,End Date,End Time,Location,Category,Description
Women's Tennis vs  Drake,3/16/18,1:30PM,3/16/18,4:30 PM,"Riverside, CA",Women's Tennis,"Women's Tennis vs  Drake Riverside, CA"
Softball vs  Purdue,3/16/18,2:00 PM,3/16/18,5:00 PM,"Riverside, CA",Softball,"Softball vs  Purdue Riverside, CA"
Baseball at  Nevada,3/16/18,3:00 PM,3/16/18,6:00 PM,"Reno, NV",Baseball,"Baseball at  Nevada Reno, NV"
Men's Golf  Grand Canyon University,3/16/18, PM,3/16/18,11:59 PM,"Phoenix, AZ",Men's Golf,"Men's Golf  Grand Canyon University Phoenix, AZ"
Softball vs  Idaho State vs. Purdue,3/17/18,9:00 AM,3/17/18,12:00 PM,,Softball,Softball vs  Idaho State vs. Purdue 
Softball vs  Idaho State vs. Texas Tech,3/17/18,11:30 AM,3/17/18,2:30 PM,,Softball,Softball vs  Idaho State vs. Texas Tech 
Baseball at  Nevada,3/17/18,12:00 PM,3/17/18,3:00 PM,"Reno, NV",Baseball,"Baseball at  Nevada Reno, NV"
Softball vs  Purdue vs. Texas Tech,3/17/18,2:00 PM,3/17/18,5:00 PM,,Softball,Softball vs  Purdue vs. Texas Tech 
Baseball at  Nevada,3/17/18,3:00 PM,3/17/18,6:00 PM,"Reno, NV",Baseball,"Baseball at  Nevada Reno, NV"
Softball vs  Idaho State vs. Purdue,3/18/18,9:00 AM,3/18/18,12:00 PM,,Softball,Softball vs  Idaho State vs. Purdue 
Softball vs  Texas Tech ,3/18/18,11:30 AM,3/18/18,2:30 PM,"Riverside, CA",Softball,"Softball vs  Texas Tech  Riverside, CA"
